iter	Logloss
0	0.5890283468
1	0.4970931401
2	0.4131772919
3	0.3480283882
4	0.2975341577
5	0.2491289159
6	0.208857986
7	0.1727694956
8	0.1458027974
9	0.1261640969
10	0.1070924063
11	0.09059515447
12	0.07781741146
13	0.06667104783
14	0.05749719393
15	0.04976720707
16	0.04421906729
17	0.03828220299
18	0.03343518805
19	0.0289945444
20	0.02530747837
21	0.02240799584
22	0.01967331924
23	0.01746166243
24	0.01559456505
25	0.01382302653
26	0.01250057978
27	0.01125531042
28	0.0102424718
29	0.00931682931
30	0.008661226761
31	0.008075692766
32	0.007300108348
33	0.006711029576
34	0.006273444551
35	0.005822685737
36	0.005389159853
37	0.00502902179
38	0.004672704277
39	0.004359422608
40	0.004080061792
41	0.003875078621
42	0.003635749748
43	0.00342936292
44	0.003215160439
45	0.003022808461
46	0.002837993608
47	0.00267550317
48	0.002534133002
49	0.002408482968
50	0.002267308356
51	0.002152257878
52	0.002064794754
53	0.001973430689
54	0.001875663923
55	0.001774493882
56	0.001682043936
57	0.001603387495
58	0.001526181534
59	0.001474363279
60	0.001420211189
61	0.001351511952
62	0.001303725122
63	0.001256095373
64	0.001204079239
65	0.001157603797
66	0.001112303149
67	0.001068195109
68	0.001037950292
69	0.001002713661
70	0.0009618499219
71	0.0009374992081
72	0.0009158585476
73	0.0008920131608
74	0.0008613143157
75	0.0008373223487
76	0.0008078529516
77	0.0007787552982
78	0.0007486371787
79	0.0007305089317
80	0.0007093076672
81	0.0006860341406
82	0.0006664303236
83	0.0006487227519
84	0.0006332646208
85	0.0006162583182
86	0.0005963560046
87	0.0005743757482
88	0.000562464158
89	0.0005485218785
90	0.0005378041026
91	0.0005291498525
92	0.0005194679925
93	0.0005077166247
94	0.0004939637029
95	0.0004845146668
96	0.0004763498203
97	0.0004643755699
98	0.0004529428826
99	0.0004465356631
100	0.0004366392263
101	0.0004288587329
102	0.0004215212075
103	0.0004158163329
104	0.0004081798374
105	0.0004003134445
106	0.0003935288006
107	0.0003847713075
108	0.000376927121
109	0.000369867478
110	0.0003614172608
111	0.0003536990403
112	0.0003464484043
113	0.0003388272726
114	0.0003336453911
115	0.0003291980885
116	0.0003235058664
117	0.0003183636855
118	0.0003133634798
119	0.0003091551552
120	0.0003032438376
121	0.0002973776001
122	0.0002942550268
123	0.0002904335514
124	0.0002865809396
125	0.0002816026607
126	0.0002774890579
127	0.0002723543653
128	0.0002691060197
129	0.0002653439768
130	0.0002618525002
131	0.0002598233386
132	0.0002558237379
133	0.0002514931915
134	0.0002479640585
135	0.0002447975456
136	0.0002422837359
137	0.0002393631729
138	0.0002362240523
139	0.0002328339251
140	0.000229557262
141	0.0002261837037
142	0.0002240769915
143	0.0002208745221
144	0.0002168371574
145	0.0002147659283
146	0.0002126183966
147	0.00021037851
148	0.0002084194108
149	0.0002062518029
150	0.0002034639193
151	0.0002002132498
152	0.0001975336015
153	0.0001961265445
154	0.0001948668208
155	0.0001923056716
156	0.000190020748
